id,full_name,gender_age,fractions,probability,grade
0,Nikolia Rainsdon,F15,66%,74%,11
1,Libbie MacIver,F15,71%,83%,10
2,Caesar Arnison,M16,70%,78%,12
3,Leanora Cowup,F15,72%,74%,9
4,Leanora Cowup,F15,72%,74%,9
5,Ranna Fotherby,F14,67%,82%,10
6,Myrilla Pargiter,F16,75%,83%,9
7,Sheppard Fideler,M14,72%,85%,10
8,Leela Woollard,F17,88%,78%,11
9,Camille Mussotti,F16,74%,85%,9
10,Ari Watters,M17,77%,81%,9
11,Arne Glozman,M15,67%,80%,9
12,Carlina Illesley,F18,64%,67%,12
13,Rora Lomansey,F16,88%,83%,12
14,Lambert Henric,M18,80%,75%,12
15,Magda McCane,F18,74%,71%,10
16,Elmer Gettings,M18,66%,84%,10
17,Jodie Esslement,M15,77%,86%,10
18,Frederigo Gouch,M16,,74%,11
19,Datha Hay,F16,82%,86%,10
20,Joan Joint,F16,,80%,10
21,Calv Charlotte,M17,75%,77%,11
22,Letta Supple,F16,60%,88%,10
23,Mayne Brewers,M17,73%,74%,11
24,Valentia Blunsom,F16,63%,90%,11
25,Gillan Trahar,F17,74%,76%,11
26,Sibley Escott,F16,68%,95%,11
27,Edy Faussett,F15,84%,85%,11
28,Angelle Philippsohn,F15,68%,89%,12
29,Noah Rough,M15,71%,83%,10
30,Olly MacPhee,M16,61%,86%,10
31,Theobald Westraw,M15,65%,91%,11
32,Udall Cockland,M14,71%,82%,10
33,Kathi McGrorty,F15,70%,84%,10
34,Maggi Howship,F15,65%,85%,12
35,Mata Quiddington,M17,79%,83%,10
36,Barret Furby,M18,69%,97%,10
37,Mariejeanne Bullivent,F16,84%,,11
38,Edgard Cattle,M16,79%,80%,10
39,Rey Grisard,F14,76%,79%,11
40,Olvan O'Kielt,M18,87%,95%,12
41,Justen Pinkney,M17,72%,84%,10
42,Leopold Daniells,M16,71%,78%,9
43,Dalis Ausiello,M16,70%,85%,11
44,Dionisio Wickardt,M18,79%,,11
45,Boniface Mytton,M15,78%,84%,12
46,Ogden Camacho,M16,91%,85%,12
47,Alecia Harcase,F16,82%,,11
48,Nyssa Wauchope,F15,84%,82%,10
49,Tamarra Itzkov,F14,69%,85%,9
50,Giacopo Kassidy,M16,82%,80%,12
51,Trent Schruurs,M18,76%,70%,12
52,Wally Sinderland,F18,80%,79%,10
53,Filia Yvon,F15,,88%,9
54,Liesa Barabisch,F18,77%,77%,9
55,Correy Noquet,M17,69%,70%,10
56,Dulcie Dillon,F17,78%,85%,12
57,Aleen Rounsivall,F15,73%,93%,11
58,Reggy Burdoun,M17,84%,,10
59,Gayle Meaddowcroft,M15,83%,92%,12
60,Tremain Heephy,M14,68%,82%,12
61,Winnie Massenhove,M16,73%,87%,9
62,Josepha Ginnety,F16,,75%,10
63,Kelcey Jacob,F18,64%,84%,9
64,Miner Ogilby,M16,80%,79%,12
65,Maighdiln Esler,F14,72%,,11
66,Maryl Robeson,F14,68%,81%,11
67,Wye Brands,M16,73%,91%,9
68,Payton Entwhistle,M17,87%,77%,12
69,Daisy Norwich,F17,82%,75%,11
70,Robinet Crean,F15,75%,76%,12
71,Fred Kimmince,F16,72%,82%,9
72,Bondon Moloney,M17,77%,73%,10
73,Devan Sottell,F15,78%,81%,10
74,Hedwiga Gouck,F16,84%,74%,11
75,Kissiah Morrison,F17,64%,84%,10
76,Dionysus Chedgey,M18,78%,92%,10
77,Emmott Riddler,M15,66%,81%,9
78,Sharline Tinker,F17,80%,86%,9
79,Carmon Tetsall,F15,74%,83%,11
80,Tamara Poland,F16,73%,75%,9
81,Edwina Leschelle,F16,85%,81%,11
82,Antons Bembrick,M18,72%,86%,9
83,Clem McKeurtan,F18,75%,93%,12
84,Chaim Samper,M18,72%,77%,12
85,Brigitta Myhan,F15,77%,,12
86,Ursala Citrine,F16,84%,90%,12
87,Ursala Citrine,F16,84%,90%,12
88,Colly Garbutt,F17,72%,82%,11
89,Jermayne Fraanchyonok,M16,,,9
90,Franklin Shottin,M14,78%,75%,12
91,Cart Crew,M18,67%,80%,10
92,Bunni Ducket,F17,76%,87%,12
93,Abelard Bitchener,M16,90%,84%,11
94,Mattie Dewar,M18,91%,87%,12
95,Donia Stockoe,F18,88%,84%,10
96,Korella Spurden,F16,79%,81%,9
97,Basilius Sine,M17,66%,85%,10
98,Kingston Akaster,M14,71%,75%,9
99,Carita Utting,F16,68%,83%,11
